entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,layer
2026-04-21 13:55:00+00:00,2026-04-21 14:40:00+00:00,SHORT,4778.9,4790.73,4755.24,131.25,T2,True,5M
2026-04-23 13:55:00+00:00,2026-04-23 14:55:00+00:00,SHORT,4724.15,4735.95,4735.95,-75.0,SL,False,5M
2026-04-24 09:20:00+00:00,2026-04-24 11:05:00+00:00,SHORT,4686.22,4698.55,4698.55,-75.0,SL,False,5M
2026-04-28 16:15:00+00:00,2026-04-28 17:40:00+00:00,SHORT,4580.34,4599.31,4599.31,-75.0,SL,False,5M
2026-05-04 09:40:00+00:00,2026-05-04 10:00:00+00:00,SHORT,4580.9,4587.82,4567.06,131.25,T2,True,5M
2026-05-04 14:40:00+00:00,2026-05-04 15:15:00+00:00,SHORT,4574.29,4587.82,4547.23,131.25,T2,True,5M
2026-05-08 09:00:00+00:00,2026-05-08 09:30:00+00:00,LONG,4718.96,4711.65,4711.65,-75.0,SL,False,5M
2026-05-12 12:55:00+00:00,2026-05-12 13:00:00+00:00,SHORT,4705.5,4706.0,4704.5,131.25,T2,True,5M
2026-05-12 13:45:00+00:00,2026-05-12 14:00:00+00:00,SHORT,4692.22,4706.0,4692.22,0.0,BE,False,5M
2026-05-13 11:50:00+00:00,2026-05-13 11:55:00+00:00,SHORT,4700.9,4702.64,4697.42,131.25,T2,True,5M
2026-05-14 11:55:00+00:00,2026-05-14 12:20:00+00:00,SHORT,4693.93,4706.34,4706.34,-75.0,SL,False,5M
2026-05-14 12:45:00+00:00,2026-05-14 13:15:00+00:00,LONG,4702.46,4694.03,4694.03,-75.0,SL,False,5M
2026-05-14 14:30:00+00:00,2026-05-14 14:55:00+00:00,SHORT,4688.0,4694.85,4688.0,0.0,BE,False,5M
2025-12-01 09:55:00+00:00,2025-12-01 10:00:00+00:00,LONG,4249.77,4241.41,4249.77,0.0,BE,False,MTF
2025-12-08 14:25:00+00:00,2025-12-08 14:35:00+00:00,SHORT,4208.59,4211.38,4203.01,131.25,T2,True,MTF
2025-12-10 14:55:00+00:00,2025-12-10 16:30:00+00:00,SHORT,4192.31,4201.66,4201.66,-75.0,SL,False,MTF
2025-12-16 08:05:00+00:00,2025-12-16 12:05:00+00:00,SHORT,4283.33,4289.64,4283.33,56.25,BE,True,MTF
2025-12-16 17:00:00+00:00,2025-12-16 17:05:00+00:00,LONG,4305.76,4303.57,4310.14,131.25,T2,True,MTF
2025-12-18 15:20:00+00:00,2025-12-18 16:20:00+00:00,LONG,4331.92,4311.23,4373.3,131.25,T2,True,MTF
2025-12-19 16:55:00+00:00,2025-12-19 20:40:00+00:00,LONG,4349.71,4338.91,4338.91,-75.0,SL,False,MTF
2025-12-30 14:30:00+00:00,2025-12-30 14:45:00+00:00,SHORT,4382.18,4395.51,4355.52,131.25,T2,True,MTF
2026-01-05 13:55:00+00:00,2026-01-05 14:45:00+00:00,LONG,4416.57,4407.29,4435.13,131.25,T2,True,MTF
2026-01-06 11:30:00+00:00,2026-01-06 14:35:00+00:00,LONG,4460.13,4449.19,4482.01,131.25,T2,True,MTF
2026-01-12 16:45:00+00:00,2026-01-12 17:20:00+00:00,LONG,4615.4,4612.51,4612.51,-75.0,SL,False,MTF
2026-01-15 08:20:00+00:00,2026-01-15 08:40:00+00:00,SHORT,4602.91,4604.95,4604.95,-18.75,SL,True,MTF
2026-01-16 08:05:00+00:00,2026-01-16 08:10:00+00:00,SHORT,4605.45,4607.62,4607.62,-75.0,SL,False,MTF
2026-01-16 14:20:00+00:00,2026-01-16 14:25:00+00:00,SHORT,4601.92,4603.17,4599.42,131.25,T2,True,MTF
2026-01-29 14:35:00+00:00,2026-01-29 15:00:00+00:00,LONG,5531.39,5486.13,5486.13,-75.0,SL,False,MTF
2026-02-12 08:40:00+00:00,2026-02-12 09:15:00+00:00,LONG,5062.59,5055.89,5075.99,131.25,T2,True,MTF
2026-02-17 11:50:00+00:00,2026-02-17 12:15:00+00:00,SHORT,4924.94,4938.77,4938.77,-75.0,SL,False,MTF
2026-02-24 10:20:00+00:00,2026-02-24 10:35:00+00:00,LONG,5180.27,5164.46,5164.46,-75.0,SL,False,MTF
2026-02-24 10:50:00+00:00,2026-02-24 12:15:00+00:00,LONG,5172.24,5164.46,5164.46,-75.0,SL,False,MTF
2026-03-04 14:35:00+00:00,2026-03-04 17:20:00+00:00,SHORT,5171.81,5197.58,5120.27,131.25,T2,True,MTF
2026-03-16 09:35:00+00:00,2026-03-16 11:10:00+00:00,SHORT,4983.55,5002.9,5002.9,-75.0,SL,False,MTF
2026-03-19 15:15:00+00:00,2026-03-19 19:05:00+00:00,SHORT,4608.49,4653.33,4653.33,-75.0,SL,False,MTF
2026-03-24 12:20:00+00:00,2026-03-24 14:10:00+00:00,SHORT,4400.08,4435.72,4400.08,0.0,BE,False,MTF
2026-03-26 11:40:00+00:00,2026-03-26 13:45:00+00:00,SHORT,4439.94,4458.67,4458.67,-75.0,SL,False,MTF
2026-04-07 13:55:00+00:00,2026-04-07 14:00:00+00:00,SHORT,4643.41,4659.14,4643.41,0.0,BE,False,MTF
2026-04-10 09:15:00+00:00,2026-04-10 10:05:00+00:00,LONG,4758.7,4743.38,4743.38,-75.0,SL,False,MTF
