tf,setup,setup_name,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,exit_reason,pnl_r,pnl_usd,equity,session
15M,5,Fib-Reject,LONG,2026-01-15 14:45:00+00:00,2026-01-16 06:45:00+00:00,4611.205,4598.245,4589.84445,4653.926100000001,time-stop,-0.607,-14.99,4926.08,NY
30M,5,Fib-Reject,SHORT,2026-01-15 16:30:00+00:00,2026-01-16 15:00:00+00:00,4605.68,4569.170075000001,4630.01995,4557.000100000001,partial-TP,1.5,36.5,4903.37,NY
15M,5,Fib-Reject,LONG,2026-01-16 14:30:00+00:00,2026-01-16 15:15:00+00:00,4608.93,4598.71435,4598.71435,4629.3613000000005,SL,-1.0,-24.63,4901.45,NY
15M,5,Fib-Reject,LONG,2026-01-21 14:15:00+00:00,2026-01-21 15:15:00+00:00,4860.59,4842.0431,4842.0431,4897.683800000001,SL,-1.0,-24.51,4876.94,NY
15M,2,Zone-Pyramid,LONG,2026-01-27 14:30:00+00:00,2026-01-27 14:45:00+00:00,5079.375,5057.1449999999995,5057.1449999999995,5123.835000000001,SL,-1.0,-73.15,4803.78,NY
30M,2,Zone-Pyramid,LONG,2026-01-28 14:30:00+00:00,2026-01-28 15:00:00+00:00,5286.19,5251.82,5251.82,5354.929999999999,SL,-1.0,-73.55,4829.82,NY
15M,1,50min-Wait,LONG,2026-01-28 14:30:00+00:00,2026-01-28 15:00:00+00:00,5279.345,5254.9,5254.9,5328.2350000000015,SL,-1.0,-24.02,4779.77,NY
15M,1,50min-Wait,LONG,2026-01-28 15:30:00+00:00,2026-01-28 18:30:00+00:00,5280.195,5280.195,5257.04,5326.504999999999,SL,-0.0,-0.0,4779.77,NY
15M,5,Fib-Reject,SHORT,2026-01-29 17:45:00+00:00,2026-01-30 03:30:00+00:00,5335.37,5156.492749999999,5454.6215,5096.866999999999,partial-TP,1.5,35.85,4815.61,NY
15M,2,Zone-Pyramid,SHORT,2026-01-30 14:45:00+00:00,2026-01-30 17:30:00+00:00,5033.255,4865.914999999999,5144.8150000000005,4810.134999999999,partial-TP,1.5,108.35,4923.96,NY
15M,5,Fib-Reject,SHORT,2026-02-02 14:45:00+00:00,2026-02-03 01:15:00+00:00,4718.945,4833.90035,4833.90035,4489.034299999999,SL,-1.0,-24.62,4899.34,NY
15M,3,Liq-Sweep,LONG,2026-02-10 16:00:00+00:00,2026-02-10 16:15:00+00:00,5020.91,5006.53,5006.53,5049.67,SL,-1.0,-24.5,4874.85,NY
15M,2,Zone-Pyramid,LONG,2026-02-12 15:00:00+00:00,2026-02-12 16:00:00+00:00,5064.99,5045.3949999999995,5045.3949999999995,5104.18,SL,-1.0,-73.12,4801.73,NY
