entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2025-09-16 16:45:00+00:00,LONG,3689.34,3685.01,4.33,4,0.44,False,SL,False,-75.0
2025-09-16 17:05:00+00:00,SHORT,3688.01,3690.95,2.94,2,1.57,True,SL,False,-75.0
2025-09-16 17:30:00+00:00,SHORT,3687.44,3690.95,3.51,2,1.29,False,SL,False,-75.0
2025-09-16 17:35:00+00:00,SHORT,3687.21,3690.95,3.74,2,1.24,False,SL,False,-75.0
2025-09-16 17:50:00+00:00,SHORT,3687.26,3690.95,3.69,3,1.1,False,SL,False,-75.0
2025-09-17 17:55:00+00:00,SHORT,3678.74,3689.24,10.5,2,1.95,True,SL,True,-18.75
2025-09-22 14:05:00+00:00,LONG,3722.6,3714.05,8.55,2,3.51,True,T2,True,131.25
2025-10-06 16:35:00+00:00,LONG,3954.88,3954.6,0.28,2,1.36,True,SL,False,-75.0
2025-10-06 17:05:00+00:00,LONG,3958.26,3954.6,3.66,3,4.48,False,SL,False,-75.0
2025-10-06 17:40:00+00:00,LONG,3954.99,3954.6,0.39,4,3.38,False,SL,True,-18.75
2025-10-06 17:50:00+00:00,LONG,3956.03,3954.6,1.43,4,3.12,False,T2,True,131.25
2025-10-06 17:55:00+00:00,LONG,3957.59,3954.6,2.99,4,3.0,False,T2,True,131.25
2025-10-15 14:55:00+00:00,LONG,4199.94,4191.04,8.9,2,3.45,True,SL,False,-75.0
2025-10-15 15:45:00+00:00,SHORT,4190.06,4202.66,12.6,2,4.18,True,SL,False,-75.0
2025-10-15 16:15:00+00:00,LONG,4194.14,4191.04,3.1,4,3.96,False,BE,True,56.25
2025-10-15 17:40:00+00:00,LONG,4192.69,4191.04,1.65,6,1.21,False,T2,True,131.25
2025-10-15 17:45:00+00:00,LONG,4194.19,4191.04,3.15,6,1.17,False,T2,True,131.25
2025-10-24 17:05:00+00:00,SHORT,4128.41,4137.18,8.77,5,8.91,True,T2,True,131.25
2025-10-27 16:25:00+00:00,SHORT,3986.95,3999.09,12.14,2,5.37,True,SL,False,-75.0
2025-11-06 13:00:00+00:00,LONG,4006.73,4005.24,1.49,3,3.11,True,T2,True,131.25
2025-11-11 13:05:00+00:00,LONG,4138.04,4137.57,0.47,2,4.17,True,BE,True,56.25
